Size, Time(microseconds)
1000, 5.8
2000, 41.0
3000, 11.2
4000, 7.2
5000, 16.1
6000, 6.6
7000, 7.6
8000, 9.7
9000, 7.0
10000, 8.2
11000, 6.8
12000, 8.9
13000, 8.0
14000, 6.4
15000, 21.9
16000, 7.8
17000, 7.5
18000, 8.6
19000, 9.5
20000, 14.2
21000, 12.7
22000, 7.8
23000, 8.3
24000, 7.5
25000, 7.6
26000, 7.6
27000, 11.5
28000, 10.2
29000, 8.3
30000, 7.8
31000, 6.8
32000, 8.6
33000, 7.7
34000, 8.1
35000, 7.8
36000, 12.5
37000, 7.4
38000, 7.9
39000, 9.1
40000, 8.4
41000, 13.3
42000, 9.4
43000, 7.7
44000, 8.9
45000, 7.6
46000, 7.8
47000, 7.5
48000, 10.1
49000, 8.8
50000, 8.4
51000, 9.1
52000, 8.0
53000, 7.9
54000, 7.6
55000, 11.4
56000, 8.4
57000, 9.0
58000, 7.6
59000, 7.9
60000, 9.2
61000, 12.2
62000, 10.6
63000, 10.2
64000, 7.5
65000, 7.5
66000, 7.6
67000, 7.9
68000, 7.9
69000, 7.6
70000, 7.8
71000, 12.1
72000, 8.0
73000, 8.7
74000, 10.2
75000, 7.5
76000, 7.5
77000, 9.1
78000, 12.4
79000, 7.8
80000, 7.5
81000, 10.9
82000, 7.5
83000, 8.6
84000, 9.3
85000, 8.0
86000, 8.5
87000, 7.5
88000, 7.8
89000, 8.5
90000, 7.2
91000, 7.5
92000, 7.8
93000, 8.4
94000, 7.5
95000, 7.4
96000, 11.5
97000, 8.0
98000, 7.8
99000, 9.5
100000, 12.2
