Size, Time(microseconds)
1000, 11.4
2000, 11.7
3000, 4.0
4000, 9.3
5000, 16.3
6000, 12.6
7000, 9.0
8000, 15.5
9000, 8.3
10000, 14.1
11000, 13.6
12000, 16.5
13000, 17.3
14000, 13.4
15000, 17.3
16000, 21.0
17000, 22.2
18000, 17.1
19000, 17.2
20000, 18.9
21000, 17.5
22000, 17.5
23000, 19.0
24000, 23.5
25000, 18.8
26000, 21.3
27000, 15.3
28000, 11.9
29000, 17.0
30000, 14.4
31000, 17.5
32000, 17.4
33000, 18.2
34000, 21.6
35000, 18.1
36000, 18.7
37000, 12.8
38000, 19.0
39000, 9.2
40000, 36.5
41000, 27.8
42000, 18.7
43000, 21.4
44000, 16.4
45000, 14.5
46000, 17.8
47000, 16.7
48000, 18.1
49000, 19.6
50000, 14.7
51000, 16.9
52000, 14.6
53000, 21.3
54000, 17.2
55000, 17.2
56000, 19.0
57000, 8.6
58000, 20.1
59000, 20.5
60000, 15.3
61000, 20.9
62000, 19.5
63000, 21.2
64000, 15.9
65000, 24.0
66000, 18.8
67000, 18.0
68000, 18.8
69000, 85.5
70000, 21.2
71000, 15.0
72000, 19.2
73000, 49.2
74000, 26.2
75000, 13.5
76000, 28.2
77000, 29.0
78000, 27.7
79000, 19.8
80000, 17.8
81000, 20.5
82000, 12.5
83000, 24.6
84000, 22.3
85000, 20.9
86000, 16.0
87000, 19.2
88000, 11.4
89000, 39.1
90000, 8.9
91000, 21.6
92000, 22.8
93000, 20.3
94000, 19.6
95000, 23.7
96000, 22.4
97000, 20.7
98000, 24.0
99000, 20.5
100000, 18.5
