Size, Time(microseconds)
1000, 2.3
2000, 0.9
3000, 0.9
4000, 0.8
5000, 0.7
6000, 0.8
7000, 0.7
8000, 1.5
9000, 0.8
10000, 0.6
11000, 0.8
12000, 0.6
13000, 0.6
14000, 0.5
15000, 0.7
16000, 0.6
17000, 1.0
18000, 0.7
19000, 0.7
20000, 1.4
21000, 1.8
22000, 0.7
23000, 1.6
24000, 1.0
25000, 1.0
26000, 0.8
27000, 0.7
28000, 0.7
29000, 0.9
30000, 0.7
31000, 1.5
32000, 0.8
33000, 3.1
34000, 7.9
35000, 5.1
36000, 3.1
37000, 1.5
38000, 1.2
39000, 1.5
40000, 1.3
41000, 2.2
42000, 1.0
43000, 1.1
44000, 0.8
45000, 2.6
46000, 5.2
47000, 10.1
48000, 13.3
49000, 3.3
50000, 10.9
51000, 8.6
52000, 7.4
53000, 8.6
54000, 4.3
55000, 1.2
56000, 2.7
57000, 4.4
58000, 2.1
59000, 1.7
60000, 1.5
61000, 0.9
62000, 0.8
63000, 0.7
64000, 1.9
65000, 0.9
66000, 1.2
67000, 3.2
68000, 2.4
69000, 5.1
70000, 5.1
71000, 1.9
72000, 1.4
73000, 2.8
74000, 3.1
75000, 5.9
76000, 4.5
77000, 2.2
78000, 3.2
79000, 4.8
80000, 1.8
81000, 2.3
82000, 8.9
83000, 3.9
84000, 2.5
85000, 2.2
86000, 1.4
87000, 1.4
88000, 6.9
89000, 2.7
90000, 1.9
91000, 1.4
92000, 4.8
93000, 1.6
94000, 2.7
95000, 6.9
96000, 3.7
97000, 2.8
98000, 3.9
99000, 1.6
100000, 2.0
