Size, Time(microseconds)
1000, 7.6
2000, 14.4
3000, 6.0
4000, 17.4
5000, 18.0
6000, 4.3
7000, 17.6
8000, 20.0
9000, 18.9
10000, 7.5
11000, 7.1
12000, 22.4
13000, 33.6
14000, 10.6
15000, 16.9
16000, 16.6
17000, 8.8
18000, 25.0
19000, 8.8
20000, 25.2
21000, 8.1
22000, 32.4
23000, 26.9
24000, 25.6
25000, 11.7
26000, 7.8
27000, 23.7
28000, 25.2
29000, 24.1
30000, 45.7
31000, 9.9
32000, 27.6
33000, 26.8
34000, 26.6
35000, 13.2
36000, 50.6
37000, 9.0
38000, 45.3
39000, 27.0
40000, 26.4
41000, 37.2
42000, 7.9
43000, 27.4
44000, 27.9
45000, 32.3
46000, 27.7
47000, 14.6
48000, 46.5
49000, 19.0
50000, 35.1
51000, 29.4
52000, 29.1
53000, 26.2
54000, 7.6
55000, 28.0
56000, 9.1
57000, 36.9
58000, 27.2
59000, 27.2
60000, 9.0
61000, 27.1
62000, 47.1
63000, 31.8
64000, 8.9
65000, 8.5
66000, 29.0
67000, 29.4
68000, 55.5
69000, 8.6
70000, 43.8
71000, 27.0
72000, 29.7
73000, 44.7
74000, 26.4
75000, 8.5
76000, 8.3
77000, 27.6
78000, 9.7
79000, 29.2
80000, 30.3
81000, 31.6
82000, 29.8
83000, 27.7
84000, 26.7
85000, 36.2
86000, 27.1
87000, 39.2
88000, 8.1
89000, 9.3
90000, 38.4
91000, 7.2
92000, 8.4
93000, 30.1
94000, 7.2
95000, 29.5
96000, 36.3
97000, 30.0
98000, 36.6
99000, 30.4
100000, 7.8
